parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT3392,"페이퍼G형박스(Tower)_블랙",0,1186,-1186,-1186,4
PT3394,"슬리브(전용)(Small)_투명+블랙인쇄",680,815,-135,-135,3
PT3395,"슬리브(전용)(Tower)_투명+블랙인쇄",0,1255,-1255,-1255,3
PT3397,"PT3397",49,21,28,28,7
PT3399,"지지대(Tower)_블랙",0,1056,-1056,-1056,3
PT3497,"PT3497",0,166,-166,-166,1
PT3557,"PT3557",101,101,0,0,2
PT3558,"PT3558",300,0,300,300,1
PT3560,"PT3560",253,253,0,0,6
PT3562,"PT3562",151,151,0,0,2
PT3565,"PT3565",658,0,658,658,3
PT3570,"PT3570",132,132,0,0,2
PT3571,"PT3571",563,0,563,563,1
PT3576,"PT3576",3825,3623,202,202,30
PT3579,"PT3579",353,353,0,0,6
PT3580,"PT3580",614,153,461,461,13
PT3582,"PT3582",0,206,-206,-206,1
PT3588,"PT3588",202,0,202,202,1
PT3589,"PT3589",600,300,300,300,3
PT3590,"PT3590",215,9,206,206,8
PT3592,"PT3592",102,102,0,0,4
PT3595,"PT3595",333,132,201,201,3
PT3600,"PT3600",51,51,0,0,2
PT3601,"PT3601",331,130,201,201,3
PT3603,"PT3603",101,0,101,101,1
PT3604,"PT3604",104,0,104,104,1
PT3606,"PT3606",0,272,-272,-272,3
PT3607,"PT3607",0,101,-101,-101,1
PT3608,"PT3608",1,11,-10,-10,3
PT3612,"PT3612",2,150,-148,-148,3
PT3615,"PT3615",1,0,1,1,1
PT3616,"PT3616",0,371,-371,-371,4
PT3617,"PT3617",17,0,17,17,3
PT3619,"PT3619",2,300,-298,-298,4
PT3620,"PT3620",0,101,-101,-101,1
PT3624,"PT3624",1,0,1,1,1
PT3625,"PT3625",0,329,-329,-329,2
PT3627,"PT3627",0,101,-101,-101,1
PT3629,"PT3629",1,450,-449,-449,3
PT3634,"PT3634",1,0,1,1,1
PT3637,"PT3637",0,800,-800,-800,1
PT3638,"PT3638",0,155,-155,-155,2
PT3640,"PT3640",0,131,-131,-131,1
PT3641,"PT3641",0,885,-885,-885,7
PT3642,"PT3642",2,141,-139,-139,3
PT3644,"PT3644",0,300,-300,-300,1
PT3646,"PT3646",1,100,-99,-99,3
PT3648,"PT3648",0,203,-203,-203,3
PT3649,"PT3649",0,500,-500,-500,2
PT3650,"PT3650",0,1204,-1204,-1204,8
PT3651,"PT3651",0,200,-200,-200,2
PT3654,"PT3654",1,206,-205,-205,4
PT3656,"PT3656",21,14,7,7,5
PT3657,"PT3657",0,200,-200,-200,1
PT3659,"PT3659",0,305,-305,-305,5
PT3661,"PT3661",0,1302,-1302,-1302,3
PT3663,"PT3663",1,175,-174,-174,4
PT3665,"PT3665",19,286,-267,-267,4
PT3666,"PT3666",6,300,-294,-294,5
PT3668,"PT3668",0,200,-200,-200,1
PT3669,"PT3669",6,1253,-1247,-1247,11
PT3676,"PT3676",0,800,-800,-800,1
PT3681,"PT3681",0,130,-130,-130,1
PT3689,"PT3689",134,583,-449,-449,16
PT3691,"PT3691",2,254,-252,-252,8
PT3692,"PT3692",0,151,-151,-151,1
PT3693,"PT3693",1,0,1,1,1
PT3694,"PT3694",4,130,-126,-126,5
PT3696,"PT3696",1,0,1,1,1
PT3702,"PT3702",0,101,-101,-101,1
PT3703,"PT3703",1,352,-351,-351,4
PT3705,"PT3705",0,400,-400,-400,1
PT3708,"PT3708",7,8912,-8905,-8905,22
PT3709,"PT3709",10,1000,-990,-990,2
PT3711,"PT3711",0,301,-301,-301,2
PT3712,"PT3712",2,0,2,2,1
PT3715,"PT3715",0,663,-663,-663,4
PT3717,"PT3717",1,340,-339,-339,2
PT3718,"PT3718",10,0,10,10,2
PT3720,"PT3720",0,453,-453,-453,4
PT3721,"PT3721",2,0,2,2,1
PT3723,"PT3723",0,101,-101,-101,1
PT3724,"PT3724",0,804,-804,-804,3
PT3726,"PT3726",0,2202,-2202,-2202,3
PT3728,"PT3728",0,453,-453,-453,2
PT3729,"PT3729",1,201,-200,-200,3
PT3730,"PT3730",17,867,-850,-850,12
PT3732,"PT3732",2,2000,-1998,-1998,3
PT3735,"PT3735",0,200,-200,-200,1
PT3739,"PT3739",0,200,-200,-200,2
PT3740,"PT3740",8,20,-12,-12,2
PT3741,"PT3741",0,170,-170,-170,2
PT3743,"PT3743",120,800,-680,-680,19
PT3744,"PT3744",0,701,-701,-701,2
PT3745,"PT3745",0,51,-51,-51,1
PT3748,"PT3748",0,153,-153,-153,1
